[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/jquery-cookie/1.4.1-1/jquery.cookie.js HTTP/1.1" 304 (6 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/jquery/3.3.1/dist/jquery.min.js HTTP/1.1" 304 (177 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/lato/0.3.0/css/lato.min.css HTTP/1.1" 304 (8 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/zxcvbn/4.3.0/zxcvbn.js HTTP/1.1" 304 (7 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/jquery-ui/1.12.1/jquery-ui.min.js HTTP/1.1" 304 (11 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/bootstrap/3.3.7-1/js/bootstrap.min.js HTTP/1.1" 304 (16 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/headjs/1.0.3/head.min.js HTTP/1.1" 304 (11 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/js/cas.js HTTP/1.1" 304 (4 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/lato/0.3.0/font/lato-light/lato-light.woff2 HTTP/1.1" 200 (21 ms)
[28/Jun/2019:16:53:14 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 (24 ms)
[28/Jun/2019:16:53:20 +0800] 0:0:0:0:0:0:0:1 "GET /cas/favicon.ico HTTP/1.1" 200 (5308 ms)
[28/Jun/2019:16:58:37 +0800] 0:0:0:0:0:0:0:1 "GET /cas HTTP/1.1" 302 (0 ms)
[28/Jun/2019:16:58:42 +0800] 0:0:0:0:0:0:0:1 "GET /cas/ HTTP/1.1" 302 (5052 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/login HTTP/1.1" 200 (3642 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/lato/0.3.0/css/lato.min.css HTTP/1.1" 200 (11 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/font-awesome/4.7.0/css/font-awesome.min.css HTTP/1.1" 200 (29 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/jquery-cookie/1.4.1-1/jquery.cookie.js HTTP/1.1" 200 (9 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/css/cas.css HTTP/1.1" 200 (83 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/jquery/3.3.1/dist/jquery.min.js HTTP/1.1" 200 (131 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/headjs/1.0.3/head.min.js HTTP/1.1" 200 (21 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/js/cas.js HTTP/1.1" 200 (12 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/bootstrap/3.3.7-1/css/bootstrap.min.css HTTP/1.1" 200 (194 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/bootstrap/3.3.7-1/js/bootstrap.min.js HTTP/1.1" 200 (52 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/jquery-ui/1.12.1/jquery-ui.min.js HTTP/1.1" 200 (106 ms)
[28/Jun/2019:16:58:46 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/zxcvbn/4.3.0/zxcvbn.js HTTP/1.1" 200 (201 ms)
[28/Jun/2019:16:58:47 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/lato/0.3.0/font/lato-light/lato-light.woff2 HTTP/1.1" 200 (33 ms)
[28/Jun/2019:16:58:47 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 (39 ms)
[28/Jun/2019:16:58:47 +0800] 0:0:0:0:0:0:0:1 "GET /cas/favicon.ico HTTP/1.1" 200 (56 ms)
[28/Jun/2019:16:58:57 +0800] 0:0:0:0:0:0:0:1 "POST /cas/login HTTP/1.1" 200 (351 ms)
[28/Jun/2019:16:58:57 +0800] 0:0:0:0:0:0:0:1 "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 (22 ms)
